StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
910GRDNGSTN,elizabeth-line,elizabeth,910GRDNGSTN,Reading,Outside,,False,,False,0.0,910GRDNGSTN,FALSE,False,2.0,Female
910GRDNGSTN,elizabeth-line,elizabeth,910GRDNGSTN,Reading,Outside,,False,,False,0.0,910GRDNGSTN,TRUE,False,3.0,Unisex
910GRDNGSTN,nationalRail,national-rail,910GRDNGSTN,Reading,Outside,,False,,False,0.0,910GRDNGSTN,FALSE,False,1.0,Male
910GRDNGSTN,nationalRail,national-rail,910GRDNGSTN,Reading,Outside,,False,,False,0.0,910GRDNGSTN,FALSE,False,2.0,Female
910GRDNGSTN,nationalRail,national-rail,910GRDNGSTN,Reading,Outside,,False,,False,0.0,910GRDNGSTN,TRUE,False,3.0,Unisex
910GROMFORD,overground,liberty,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,1.0,Male
910GROMFORD,overground,liberty,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,2.0,Female
910GROMFORD,overground,liberty,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,TRUE,False,3.0,Unisex
910GROMFORD,elizabeth-line,elizabeth,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,1.0,Male
910GROMFORD,elizabeth-line,elizabeth,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,2.0,Female
910GROMFORD,elizabeth-line,elizabeth,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,TRUE,False,3.0,Unisex
910GROMFORD,nationalRail,national-rail,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,1.0,Male
910GROMFORD,nationalRail,national-rail,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,FALSE,False,2.0,Female
910GROMFORD,nationalRail,national-rail,910GROMFORD,Romford,6,,True,,False,0.0,910GROMFORD,TRUE,False,3.0,Unisex
