StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
910GWNSTDPK,overground,suffragette,910GWNSTDPK,Wanstead Park,3,,False,,False,,,,,
910GWSUTTON,nationalRail,national-rail,910GWSUTTON,West Sutton,5,,False,,False,,,,,
910GWOLWXR,elizabeth-line,elizabeth,910GWOLWXR,Woolwich,4,910GWOLWXR,True,,False,,,,,
940GZZALGWP,cableCar,london-cable-car,940GZZALGWP,IFS Cloud Greenwich Peninsula,Outside,HUBNGW,False,,False,,,,,
940GZZALRDK,cableCar,london-cable-car,940GZZALRDK,IFS Cloud Royal Docks,Outside,HUBRVC,False,,False,,,,,
940GZZCRADD,tram,tram,940GZZCRADD,Addiscombe,Trams fare zone,,False,,False,,,,,
940GZZCRADV,tram,tram,940GZZCRADV,Addington Village,Trams fare zone,,False,,False,,,,,
940GZZCRAMP,tram,tram,940GZZCRAMP,Ampere Way,Trams fare zone,,False,,False,,,,,
940GZZCRARA,tram,tram,940GZZCRARA,Arena,Trams fare zone,,False,,False,,,,,
940GZZCRAVE,tram,tram,940GZZCRAVE,Avenue Road,Trams fare zone,,False,,False,,,,,
940GZZCRBED,tram,tram,940GZZCRBED,Beddington Lane,Trams fare zone,,False,,False,,,,,
940GZZCRBGV,tram,tram,940GZZCRBGV,Belgrave Walk,Trams fare zone,,False,,False,,,,,
940GZZCRBLA,tram,tram,940GZZCRBLA,Blackhorse Lane,Trams fare zone,,False,,False,,,,,
940GZZCRBRD,tram,tram,940GZZCRBRD,Beckenham Road,Trams fare zone,,False,,False,,,,,
940GZZCRCEN,tram,tram,940GZZCRCEN,George Street,Trams fare zone,,False,,False,,,,,
940GZZCRCHR,tram,tram,940GZZCRCHR,Church Street,Trams fare zone,,False,,False,,,,,
940GZZCRCOO,tram,tram,940GZZCRCOO,Coombe Lane,Trams fare zone,,False,,False,,,,,
940GZZCRCTR,tram,tram,940GZZCRCTR,Centrale,Trams fare zone,,False,,False,,,,,
940GZZCRDDR,tram,tram,940GZZCRDDR,Dundonald Road,Trams fare zone,,False,,False,,,,,
940GZZCRFLD,tram,tram,940GZZCRFLD,Fieldway,Trams fare zone,,False,,False,,,,,
940GZZCRGRA,tram,tram,940GZZCRGRA,Gravel Hill,Trams fare zone,,False,,False,,,,,
940GZZCRHAR,tram,tram,940GZZCRHAR,Harrington Road,Trams fare zone,,False,,False,,,,,
940GZZCRKGH,tram,tram,940GZZCRKGH,King Henry's Drive,Trams fare zone,,False,,False,,,,,
940GZZCRLEB,tram,tram,940GZZCRLEB,Lebanon Road,Trams fare zone,,False,,False,,,,,
940GZZCRLOY,tram,tram,940GZZCRLOY,Lloyd Park,Trams fare zone,,False,,False,,,,,
940GZZCRMCH,tram,tram,940GZZCRMCH,Mitcham,Trams fare zone,,False,,False,,,,,
940GZZCRMDN,tram,tram,940GZZCRMDN,Morden Road,Trams fare zone,,False,,False,,,,,
940GZZCRMTP,tram,tram,940GZZCRMTP,Merton Park,Trams fare zone,,False,,False,,,,,
940GZZCRNWA,tram,tram,940GZZCRNWA,New Addington,Trams fare zone,,False,,False,,,,,
940GZZCRPHI,tram,tram,940GZZCRPHI,Phipps Bridge,Trams fare zone,,False,,False,,,,,
940GZZCRRVC,tram,tram,940GZZCRRVC,Reeves Corner,Trams fare zone,,False,,False,,,,,
940GZZCRSAN,tram,tram,940GZZCRSAN,Sandilands,Trams fare zone,,False,,False,,,,,
940GZZCRTPA,tram,tram,940GZZCRTPA,Therapia Lane,Trams fare zone,,False,,False,,,,,
940GZZCRWAD,tram,tram,940GZZCRWAD,Waddon Marsh,Trams fare zone,,False,,False,,,,,
940GZZCRWAN,tram,tram,940GZZCRWAN,Wandle Park,Trams fare zone,,False,,False,,,,,
